Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
GS|005|00|EHZ|34.942402|-106.457901|1850.0|0.0|0.0|-90.0|Land Fairfield 5hz geophone|75900.0|10.0|M/S|2000.0|2017-05-02T00:00:00|2017-05-09T00:00:00|GS.005.00.EHZ.M|2017-05-02|2017-05-09|604800.0
GS|006|00|EHZ|34.942402|-106.457901|1850.0|0.0|0.0|-90.0|Land Fairfield 5hz geophone|75900.0|10.0|M/S|2000.0|2017-05-02T00:00:00|2017-05-09T00:00:00|GS.006.00.EHZ.M|2017-05-02|2017-05-09|604800.0
GS|007|00|EHZ|34.942402|-106.457901|1850.0|0.0|0.0|-90.0|Land Fairfield 5hz geophone|75900.0|10.0|M/S|2000.0|2017-05-02T00:00:00|2017-05-09T00:00:00|GS.007.00.EHZ.M|2017-05-02|2017-05-09|604800.0
GS|BH0|00|HHZ|37.045502|-104.801804|2190.0|0.0|0.0|-90.0|CMG405-20S=T4913=Gen=RT-72A-08-6=1113|419507008.0|1.0|M/S|100.0|2001-09-08T00:00:00|2001-09-17T21:00:00|GS.BH0.00.HHZ.M|2001-09-08|2001-09-18|853200.0
GS|BH0|10|EHZ|37.045502|-104.801804|2190.0|0.0|0.0|-90.0|L22-119-07=341=Gen=RT-72A-08-6=1113|46145800.0|10.0|M/S|100.0|2001-09-17T21:00:00|2001-12-06T00:00:00|GS.BH0.10.EHZ.M|2001-09-17|2001-12-06|6836400.0
GS|CAP||EHZ|47.034054|-122.902672|24.0|0.0|0.0|-90.0|L22-119-07=022=Gen=K2DAS=1386|295279008.0|10.0|M/S|100.0|2001-03-02T00:00:00|2002-04-26T00:00:00|GS.CAP..EHZ.M|2001-03-02|2002-04-26|36288000.0
GS|CVRD||HHZ|38.0686|-77.808098|100.1|0.0|0.0|-90.0|TRILLIUM-COMPACT=000430=Gen=RT-130=946F|471366016.0|1.0|M/S|100.0|2011-08-20T00:00:00|2012-09-21T00:00:00|GS.CVRD..HHZ.M|2011-08-20|2012-09-21|34387200.0
GS|DBAD|00|EHZ|18.23152|-72.735359|534.0|0.0|0.0|-90.0|L22=307=Gen=RT-130=936C|1772179970.0|10.0|M/S|100.0|2010-03-15T00:00:00|2010-06-25T00:00:00|GS.DBAD.00.EHZ.M|2010-03-15|2010-06-25|8812800.0
GS|DBAD|01|EHZ|18.23152|-72.735359|534.0|0.0|0.0|-90.0|L22=307=Gen=RT-130=936C|1772179970.0|10.0|M/S|200.0|2010-03-15T00:00:00|2010-06-25T00:00:00|GS.DBAD.01.EHZ.M|2010-03-15|2010-06-25|8812800.0
GS|DEC04|01|HHZ|39.878593|-88.85942800000002|225.4|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|471280000.0|1.0|M/S|200.0|2013-08-15T00:00:00|2014-10-30T18:37:00|GS.DEC04.01.HHZ.M|2013-08-15|2014-10-31|38169420.0
GS|DEC04|01|HHZ|39.878593|-88.85942800000002|225.4|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2014-10-30T18:37:00|2599-12-31T23:59:59|GS.DEC04.01.HHZ.M|2014-10-30|2018-10-12|124608180.00000001
GS|DEC05|01|HHZ|39.870068|-88.866272|215.6|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2013-06-05T22:00:00|2599-12-31T23:59:59|GS.DEC05.01.HHZ.M|2013-06-05|2018-10-12|168832800.0
GS|DEC06|01|HHZ|39.896748|-88.946442|214.8|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2013-10-24T19:57:34|2599-12-31T23:59:59|GS.DEC06.01.HHZ.M|2013-10-24|2018-10-12|156657746.0
GS|DEC07|01|HHZ|39.864941|-88.89907099999998|212.5|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2013-06-06T22:00:00|2016-10-19T20:46:00|GS.DEC07.01.HHZ.M|2013-06-06|2016-10-20|106353960.0
GS|DEC08|01|HHZ|39.861046|-88.92488900000002|209.8|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2013-06-07T13:00:00|2599-12-31T23:59:59|GS.DEC08.01.HHZ.M|2013-06-07|2018-10-12|168692400.0
GS|DEC09|01|HHZ|39.874596|-88.924126|207.3|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2013-08-16T00:00:00|2014-01-17T19:23:00|GS.DEC09.01.HHZ.M|2013-08-16|2014-01-18|13375380.0
GS|DEC09|01|HHZ|39.874596|-88.924126|207.3|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2014-01-17T19:23:00|2599-12-31T23:59:59|GS.DEC09.01.HHZ.M|2014-01-17|2018-10-12|149315820.0
GS|DEC10|01|HHZ|39.890766|-88.918114|209.6|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2013-08-22T00:00:00|2599-12-31T23:59:59|GS.DEC10.01.HHZ.M|2013-08-22|2018-10-12|162172800.0
GS|DEC11|01|HHZ|39.903965|-88.88157700000002|211.9|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2013-06-06T17:00:00|2014-01-17T19:47:00|GS.DEC11.01.HHZ.M|2013-06-06|2014-01-18|19450020.0
GS|DEC11|01|HHZ|39.903965|-88.88157700000002|211.9|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2014-01-17T19:47:00|2014-04-25T16:41:00|GS.DEC11.01.HHZ.M|2014-01-17|2014-04-26|8456040.0
