Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
CU|ANWB|00|HHZ|17.66853|-61.78556800000001|39.0|0.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2447790080.0|0.02|M/S|100.0|2018-08-06T15:00:00|2599-12-31T23:59:59|CU.ANWB.00.HHZ.M|2018-08-06|2018-10-12|5734800.0
CU|BCIP|00|HHZ|9.1665|-79.837303|61.0|0.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2447790080.0|0.02|M/S|100.0|2018-05-09T00:00:00|2599-12-31T23:59:59|CU.BCIP.00.HHZ.M|2018-05-09|2018-10-12|13478400.0
CU|GRGR|00|HHZ|12.1324|-61.653999|194.0|1.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1983069950.0|0.02|M/S|100.0|2018-07-06T14:00:00|2599-12-31T23:59:59|CU.GRGR.00.HHZ.M|2018-07-06|2018-10-12|8416800.0
IC|BJT|10|HHZ|40.018299|116.1679|137.0|60.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2013-04-17T00:00:00|2599-12-31T23:59:59|IC.BJT.10.HHZ.M|2013-04-17|2018-10-12|173145600.0
IC|ENH|10|HHZ|30.276199|109.4944|500.0|0.0|0.0|90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2013-05-02T02:00:00|2014-05-14T04:00:00|IC.ENH.10.HHZ.M|2013-05-02|2014-05-15|32580000.000000004
IC|ENH|10|HHZ|30.276199|109.4944|500.0|0.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2014-05-14T04:00:00|2599-12-31T23:59:59|IC.ENH.10.HHZ.M|2014-05-14|2018-10-12|139262400.0
IC|HIA|10|HHZ|49.270401|119.741402|620.0|0.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2013-05-10T10:00:00|2599-12-31T23:59:59|IC.HIA.10.HHZ.M|2013-05-10|2018-10-12|171122400.0
IC|KMI|10|HHZ|25.123301|102.739998|1940.0|35.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2013-01-17T01:00:00|2599-12-31T23:59:59|IC.KMI.10.HHZ.M|2013-01-17|2018-10-12|180918000.0
IC|LSA|10|HHZ|29.7031|91.126999|3645.0|15.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2013-05-09T11:30:00|2599-12-31T23:59:59|IC.LSA.10.HHZ.M|2013-05-09|2018-10-12|171203400.0
IC|MDJ|10|HHZ|44.61763|129.593414|240.0|50.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2013-05-05T04:00:00|2599-12-31T23:59:59|IC.MDJ.10.HHZ.M|2013-05-05|2018-10-12|171576000.0
IC|QIZ|10|HHZ|19.0291|109.844498|240.0|0.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2013-01-10T00:00:00|2599-12-31T23:59:59|IC.QIZ.10.HHZ.M|2013-01-10|2018-10-12|181526400.0
IC|SSE|10|HHZ|31.094801|121.190804|40.0|0.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2013-04-27T02:00:00|2599-12-31T23:59:59|IC.SSE.10.HHZ.M|2013-04-27|2018-10-12|172274400.0
IC|WMQ|10|HHZ|43.813801|87.704903|844.0|6.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2013-04-27T04:00:00|2599-12-31T23:59:59|IC.WMQ.10.HHZ.M|2013-04-27|2018-10-12|172267200.0
