Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
1A|WP01||EHZ|33.8405|-103.867302|1362.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|200.0|2013-07-08T20:00:00|2013-07-10T15:00:00|1A.WP01..EHZ.M|2013-07-08|2013-07-11|154800.0
1A|WP02||EHZ|32.591|-104.691704|1276.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|200.0|2013-07-09T14:00:00|2013-07-11T23:59:59|1A.WP02..EHZ.M|2013-07-09|2013-07-12|208799.0
1A|WP03||EHZ|32.491699|-104.515503|1272.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|200.0|2013-07-09T18:00:00|2013-07-11T16:00:00|1A.WP03..EHZ.M|2013-07-09|2013-07-12|165600.0
1A|WP04||EHZ|32.355202|-103.398499|1055.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|200.0|2013-07-10T20:00:00|2013-07-13T21:00:00|1A.WP04..EHZ.M|2013-07-10|2013-07-14|262800.0
1A|WP05||EHZ|32.264099|-103.879097|1043.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|200.0|2013-07-11T20:00:00|2013-07-13T19:00:00|1A.WP05..EHZ.M|2013-07-11|2013-07-14|169200.0
1A|WP06||EHZ|32.472599|-103.6343|1189.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1768729980.0|8.0|M/S|200.0|2013-07-11T22:00:00|2013-07-12T17:00:00|1A.WP06..EHZ.M|2013-07-11|2013-07-13|68400.0
1B|HOL2B||CHZ|0.0|0.0|0.0|0.0|0.0|-90.0|Trillium 120 Compact|474555008.0|1.0|M/S|500.0|2013-04-06T17:57:07|2013-04-19T11:25:55|1B.HOL2B..CHZ.M|2013-04-06|2013-04-20|1099728.0
1D|S001||HHZ|-84.5|-154.100006|0.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954872000.0|0.5|M/S|200.0|2010-11-25T00:00:00|2010-12-31T23:59:59|1D.S001..HHZ.M|2010-11-25|2011-01-01|3196799.0
1D|S003||HHZ|-84.599998|-157.5|0.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954872000.0|0.5|M/S|200.0|2010-11-25T00:00:00|2010-12-31T23:59:59|1D.S003..HHZ.M|2010-11-25|2011-01-01|3196799.0
1D|S008||HHZ|-84.480003|-157.699997|0.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954872000.0|0.5|M/S|200.0|2010-11-25T00:00:00|2010-12-31T23:59:59|1D.S008..HHZ.M|2010-11-25|2011-01-01|3196799.0
1D|S009||HHZ|-84.510002|-156.100006|0.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954872000.0|0.5|M/S|200.0|2010-11-25T00:00:00|2010-12-31T23:59:59|1D.S009..HHZ.M|2010-11-25|2011-01-01|3196799.0
