Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
TA|034A||BHZ|27.064699|-98.683296|155.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2010-01-08T00:00:00|2011-11-17T17:05:00|TA.034A..BHZ.M|2010-01-08|2011-11-18|58640700.0
TA|035A||BHZ|26.937901|-98.102303|29.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2010-01-12T00:00:00|2011-11-14T17:40:00|TA.035A..BHZ.M|2010-01-12|2011-11-15|58038000.0
TA|035Z||BHZ|26.462999|-98.068298|19.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2010-01-09T00:00:00|2011-11-20T19:00:00|TA.035Z..BHZ.M|2010-01-09|2011-11-21|58820400.0
TA|058A||BHZ|27.0569|-81.804901|15.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2012-03-11T00:00:00|2013-11-09T20:15:00|TA.058A..BHZ.M|2012-03-11|2013-11-10|52604100.0
TA|059A||BHZ|26.9671|-81.143997|11.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2012-03-12T00:00:00|2013-11-09T15:20:00|TA.059A..BHZ.M|2012-03-12|2013-11-10|52500000.0
TA|059Z||BHZ|26.337299|-81.44319899999998|8.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2012-03-13T00:00:00|2012-05-18T18:28:00|TA.059Z..BHZ.M|2012-03-13|2012-05-19|5768880.0
TA|059Z||BHZ|26.337299|-81.44319899999998|8.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2012-05-18T18:28:00|2012-11-26T18:59:59|TA.059Z..BHZ.M|2012-05-18|2012-11-27|16590719.000000002
TA|059Z||BHZ|26.337299|-81.44319899999998|8.0|0.0|0.0|-90.0|Streckeisen STS-2.5/Quanterra 330 Linear Phase Com|628316030.0|0.2|M/S|40.0|2012-11-26T19:00:00|2013-11-11T18:30:00|TA.059Z..BHZ.M|2012-11-26|2013-11-12|30238200.000000004
TA|060A||BHZ|27.0361|-80.361801|9.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 400 and a|502064992.0|0.2|M/S|40.0|2012-03-15T00:00:00|2013-02-09T21:44:59|TA.060A..BHZ.M|2012-03-15|2013-02-10|28676699.0
TA|060A||BHZ|27.0361|-80.361801|9.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|502078016.0|0.2|M/S|40.0|2013-02-09T21:45:00|2014-02-04T18:00:21|TA.060A..BHZ.M|2013-02-09|2014-02-05|31090521.000000004
